                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                 1.2467,                0.87168,                 1.1219,                0.96825,                0.88382,                0.92606,                0.51557,                 1.5414,                 1.0945,                 1.3991,               0.003367,               0.003367,               0.003367
                    136,                 1.0967,                 1.0338,                 1.1708,                0.96825,                0.88382,                0.92606,                0.51557,                 1.5414,                 1.0945,                 1.3991,              0.0033175,              0.0033175,              0.0033175
                    137,                 1.3341,                0.89315,                 1.2421,                0.93239,                0.89855,                0.92632,                0.51845,                 1.5744,                 1.0874,                 1.4189,               0.003268,               0.003268,               0.003268
                    138,                 1.3295,                  0.851,                 1.1054,                0.93239,                0.89855,                0.92632,                0.51845,                 1.5744,                 1.0874,                 1.4189,              0.0032185,              0.0032185,              0.0032185
                    139,                 1.4316,                 1.2353,                 1.3716,                0.96752,                0.86342,                0.92499,                0.49094,                 1.5952,                 1.0971,                 1.4509,               0.003169,               0.003169,               0.003169
                    140,                 1.2592,                0.84483,                 1.1026,                0.96752,                0.86342,                0.92499,                0.49094,                 1.5952,                 1.0971,                 1.4509,              0.0031195,              0.0031195,              0.0031195
                    141,                 1.2431,                 0.8324,                 1.1176,                0.95798,                0.84058,                0.91705,                0.49483,                 1.5805,                  1.101,                  1.429,                0.00307,                0.00307,                0.00307
                    142,                 1.1067,                0.82149,                 1.0682,                0.95798,                0.84058,                0.91705,                0.49483,                 1.5805,                  1.101,                  1.429,              0.0030205,              0.0030205,              0.0030205
                    143,                 1.1919,                 0.8165,                 1.0941,                0.94707,                0.84058,                0.92102,                0.52597,                 1.5194,                 1.0429,                 1.3957,               0.002971,               0.002971,               0.002971
                    144,                 1.1072,                0.81071,                 1.0734,                0.94707,                0.84058,                0.92102,                0.52597,                 1.5194,                 1.0429,                 1.3957,              0.0029215,              0.0029215,              0.0029215
                    145,                 1.0429,                0.75981,                 1.1023,                0.93374,                0.86957,                 0.9173,                0.52295,                 1.4983,                  1.019,                 1.3966,               0.002872,               0.002872,               0.002872
                    146,                 1.2277,                  0.852,                 1.2121,                0.93374,                0.86957,                 0.9173,                0.52295,                 1.4983,                  1.019,                 1.3966,              0.0028225,              0.0028225,              0.0028225
